customer_age,customer_tenure_months,order_value,items_quantity,discount_value,payment_installments,delivery_time_days,delivery_delay_days,freight_value,delivery_attempts,customer_service_contacts,resolution_time_days,complaints_count,customer_region_Centro-Oeste,customer_region_Nordeste,customer_region_Norte,customer_region_Sudeste,customer_region_Sul,discount_ratio,has_delay,high_contact,freight_per_item,nps_score,nps_category
63,14,139.73,4,39.35,4,2,2,55.53,3,0,4,3,False,True,False,False,False,0.28161454232962424,1,0,13.882499996529376,6.9,Neutro
20,1,458.95,2,9.51,10,6,4,28.23,3,0,10,3,False,False,False,False,True,0.02072121146089831,1,0,14.114999992942499,2.4,Detrator
46,111,507.06,5,42.82,6,6,1,40.99,1,4,5,7,False,True,False,False,False,0.08444759988939288,1,1,8.1979999983604,4.8,Detrator
52,117,302.19,2,19.58,9,5,2,35.24,3,1,11,4,True,False,False,False,False,0.06479367285461202,1,0,17.61999999119,5.9,Detrator
56,50,253.06,1,29.37,11,13,1,39.32,1,1,0,3,False,False,True,False,False,0.11605943254518274,1,0,39.31999996068,6.1,Neutro
35,75,568.76,6,36.58,3,4,5,41.82,2,2,3,5,False,False,False,True,False,0.06431535269698235,1,0,6.969999998838333,0.9,Detrator
37,68,41.29,3,99.62,6,8,3,35.83,3,3,4,6,False,False,False,True,False,2.41269072408785,1,1,11.943333329352221,1.4,Detrator
60,37,428.76,4,29.54,10,11,5,44.5,1,0,2,2,False,False,False,False,True,0.06889635227150645,1,0,11.12499999721875,0.0,Detrator
40,60,121.56,3,91.95,6,6,3,24.88,2,1,9,3,False,False,False,False,True,0.7564165843965415,1,0,8.293333330568888,6.2,Neutro
51,70,411.01,6,37.47,3,9,2,30.59,1,0,7,2,False,False,False,True,False,0.09116566506875462,1,0,5.098333332483611,2.7,Detrator
50,28,616.17,2,23.0,8,4,2,52.94,3,0,7,6,True,False,False,False,False,0.03732736095551986,1,0,26.469999986764996,5.3,Detrator
67,81,509.48,2,10.42,1,11,1,46.92,2,1,3,2,False,False,True,False,False,0.02045222579881359,1,0,23.45999998827,7.0,Neutro
65,85,588.28,6,12.54,5,11,2,28.67,2,1,9,4,True,False,False,False,False,0.021316379955087176,1,0,4.778333332536945,3.7,Detrator
27,42,165.19,5,52.82,5,10,1,63.92,3,0,8,2,False,False,False,True,False,0.3197530116815803,1,0,12.7839999974432,2.9,Detrator
50,113,220.81,3,30.73,6,7,3,45.96,1,1,4,3,False,False,False,True,False,0.13916942167411273,1,0,15.319999994893333,2.7,Detrator
